# Identifier (Identifier der Ressource im Quellsystem des Publishers): Traktanden_SR_2018_bis_Heute_CSV
# Titel (Titel der Datei): Traktanden_SR_2018 bis heute mit Beschlüsse
# Beschreibung (Datei-Informationen): Die Traktandenliste aller Geschäfte und Beschlüsse zu den Stadtratssitzungen der Stadt Bern.
# Sprache (Sprache in der diese Datei vorliegt): Deutsch
# Erstellt (Datum der Veröffentlichung dieser Datei): 01.12.2017
# Geändert (Datum der letzten Änderung dieser Datei): 27.05.2019
# Nutzungsbedingungen (Art der Nutzung und Angabepflicht): Freie Nutzung - Quellenangben ist Pflicht (Autor, Titel und Link zum Datensatz).
# Zugangs-URL (Die URL über welche auf die Ressource zugegriffen werden kann): https://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd
# Download-URL (URL der Datei um die Ressource direkt heruntergeladen werden kann): https://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd/download-stadtraetische-traktanden-und-beschluesse-ogd/traktanden-sr-2018-bis-heute-mit-beschluesse.txt/download
# Dateigrösse (Angabe in Bytes): 196608
# Dateiformat (Datei Typ und Kürzel des Formats): CSV
# Autor der Datei (Ein oder mehrere Autoren dieser Datei): Ratssekretariat des Stadtrats der Stadt Bern
# Dateibezogene Zusatzinformationen (Der richtige Umgang und Interpretation die es ggf. zu berücksichtigen gilt.): Weitere Informationen zu den einzelnen Traktanden und Geschäfte finden Sie als PDF Datei unter https://www.bern.ch/politik-und-verwaltung/stadtrat/sitzung-geschaeft.



Datum;Traktanden Nr.;Traktandierungstitel;Beschluss Nr.;Traktandumstatus;Beschluss
15.08.2019;1;Dringliche Interpellation Fraktion SVP (Janosch Weyermann/Alexander Feuz, SVP): Wie geht die Stadt Bern beim Bau von 5G-Antennen vor?;;Traktandiert;
27.06.2019;1;Jahresrechnung 2018;;Traktandiert;
27.06.2019;2;Tätigkeitsbericht der Ombuds- und der Datenaufsichtsstelle 2018;;Traktandiert;
13.06.2019;6;Dringliche Motion Eva Krattiger und Seraina Patzen (JA!): Konsequente Klimapolitik #5: Keine Parkplätze mehr in Bern!;;Traktandiert;
13.06.2019;1;Protokollgenehmigung Stadtrat 2019 (Protokoll Nr. 08 vom 04. April 2019);;Traktandiert;
13.06.2019;2;Protokollgenehmigung Stadtrat 2019 (Protokoll Nr. 09 vom 25. April 2019);;Traktandiert;
13.06.2019;4;Kleine Anfrage Fraktion SVP (Hans Ulrich Gränicher/Alexander Feuz, SVP): Ab 15. Dezember 2019 keine direkte Zugverbindung mehr ab Bern nach Paris;;Traktandiert;
13.06.2019;3;Protokollgenehmigung Stadtrat 2019 (Protokoll Nr. 10 vom 02. Mai 2019);;Traktandiert;
13.06.2019;7;"Gesamtsanierung Kindergarten Wylergut 1 + 2; Baukredit";;Traktandiert;
13.06.2019;15;"Melchiorstrasse 9, 3027 Bern; Erwerb des Grundstücks Bern Gbbl.-Nr. 3918/6";;Traktandiert;
13.06.2019;16;Potenzialanalyse Open Source Software (POTOSS);;Traktandiert;
13.06.2019;13;Postulat Fraktion SP (Fuat Köçer/Halua Pinto de Magalhães): Vielfalt im Lehrerzimmer als Antwort auf Vielfalt im Klassenzimmer;;Traktandiert;
